track_name,album_name,times_played,avg_popularity,avg_duration,label
"2,459 Miles",[Untitled],19,18.0,2.433333333333333,
"9:27a.m., 7/29",[Untitled],29,24.0,2.35,
A Glass Can Only Spill What It Contains,"Brother, Sister",9,33.0,3.75,
"A Stick, A Carrot & String",It's All Crazy! It's All False! It's All A Dream! It's Alright,1,24.0,3.1,
All Circles,Ten Stories,8,23.0,2.7333333333333334,
Another Head for Hydra,[Untitled],29,22.0,2.716666666666667,Another Head for Hydra
August 6th,[untitled] e.p.,7,18.0,3.45,August 6th
Bear's Vision of St. Agnes,Ten Stories,9,25.0,5.0,
"Bethlehem, WV",[untitled] e.p.,18,18.0,3.5833333333333335,
Blue Hen,Pale Horses,2,17.0,3.0833333333333335,Blue Hen
Brownish Spider,"Brother, Sister",1,22.0,1.3166666666666667,
C-Minor,"Brother, Sister",15,29.0,3.35,
Cardiff Giant,Ten Stories,3,27.0,3.7333333333333334,
Chapelcross Towns,Pale Horses: Appendix,1,16.0,2.95,Chapelcross Towns
D-Minor,Pale Horses,6,18.0,3.316666666666667,D-Minor
East Enders Wives,Ten Stories,8,26.0,2.8666666666666667,
Elephant in the Dock,Ten Stories,1,27.0,3.8666666666666667,
"February, 1878",Ten Stories,13,27.0,3.7666666666666666,
"Flee, Thou Matadors!",[Untitled],22,19.0,4.95,"Flee, Thou Matadors!"
Four Word Letter,Catch For Us The Foxes,7,24.0,4.366666666666666,
Fox's Dream of the Log Flume,Ten Stories,16,37.0,3.75,Fox's Dream of the Log Flume
"Goodbye, I!",It's All Crazy! It's All False! It's All A Dream! It's Alright,11,26.0,3.816666666666667,"Goodbye, I!"
Grist for the Malady Mill,Ten Stories,9,31.0,3.283333333333333,
In A Sweater Poorly Knit,"Brother, Sister",18,42.0,5.433333333333334,In A Sweater Poorly Knit
January 1979,Catch For Us The Foxes,20,43.0,3.433333333333333,January 1979
"Julia (or, ‘Holy to the LORD’ on the Bells of Horses)",[Untitled],29,35.0,3.95,"Julia (or, ‘Holy to the LORD’ on the Bells of Horses)"
Leaf,Catch For Us The Foxes,1,25.0,3.6166666666666667,
Magic Lantern Days,Pale Horses,5,16.0,3.8666666666666667,Magic Lantern Days
Messes Of Men,"Brother, Sister",3,39.0,3.8666666666666667,Messes Of Men
Mexican War Streets,Pale Horses,26,20.0,3.566666666666667,Mexican War Streets
"My Exit, Unfair",Catch For Us The Foxes,11,29.0,3.8666666666666667,
"New Wine, New Skins",[Untitled],10,20.0,4.733333333333333,
Nice And Blue (Pt. 2),"Brother, Sister",10,32.0,3.716666666666667,
"O, Porcupine","Brother, Sister",9,26.0,4.516666666666667,
Orange Spider,"Brother, Sister",1,23.0,1.1666666666666667,
Paper-Hanger,Catch For Us The Foxes,12,26.0,4.2,
Red Cow,Pale Horses,25,21.0,3.9833333333333334,Red Cow
Seven Sisters,Catch For Us The Foxes,8,26.0,3.8,
Son Of A Widow,Catch For Us The Foxes,2,24.0,3.45,
The Angel Of Death Came To David's Room,It's All Crazy! It's All False! It's All A Dream! It's Alright,5,28.0,3.8833333333333333,
The Dryness And The Rain,"Brother, Sister",14,27.0,2.95,
"The Fox, The Crow And The Cookie",It's All Crazy! It's All False! It's All A Dream! It's Alright,1,39.0,3.5,"The Fox, The Crow And The Cookie"
The Soviet,Catch For Us The Foxes,7,26.0,3.05,
Tie Me Up! Untie Me!,Catch For Us The Foxes,15,32.0,3.683333333333333,
Timothy Hay,It's All Crazy! It's All False! It's All A Dream! It's Alright,12,23.0,3.6166666666666667,
Torches Together,Catch For Us The Foxes,12,33.0,3.783333333333333,
Tortoises All the Way Down,[Untitled],12,22.0,4.55,
Wendy & Betsy,[Untitled],15,20.0,2.183333333333333,
Winter Solstice,[Untitled],13,21.0,3.8666666666666667,
Yellow Spider,"Brother, Sister",3,25.0,1.1666666666666667,
[dormouse sighs],[Untitled],5,23.0,4.233333333333333,
