"song","album"
"Bullet to Binary","[A→B] Life"
"Nice and Blue","[A→B] Life"
"The Ghost","[A→B] Life"
"Everything Was Beautiful and Nothing Hurt","[A→B] Life"
"Silencer","[A→B] Life"
"Be Still, Child","[A→B] Life"
"We Know Who Our Enemies Are","[A→B] Life"
"I Never Said That I Was Brave","[A→B] Life"
"(B)","[A→B] Life"
"The Cure for Pain","[A→B] Life"
"Torches Together","Catch for Us the Foxes"
"January 1979","Catch for Us the Foxes"
"Tie Me Up! Untie Me!","Catch for Us the Foxes"
"Leaf","Catch for Us the Foxes"
"Disaster Tourism","Catch for Us the Foxes"
"Seven Sisters","Catch for Us the Foxes"
"The Soviet","Catch for Us the Foxes"
"Paper Hanger","Catch for Us the Foxes"
"My Exit, Unfair","Catch for Us the Foxes"
"Four Word Letter (Pt. Two)","Catch for Us the Foxes"
"Carousels","Catch for Us the Foxes"
"Son of a Widow","Catch for Us the Foxes"
"Messes of Men","Brother, Sister"
"The Dryness and the Rain","Brother, Sister"
"Wolf Am I! (and Shadow)","Brother, Sister"
"Yellow Spider","Brother, Sister"
"A Glass Can Only Spill What It Contains","Brother, Sister"
"Nice and Blue (Pt. Two)","Brother, Sister"
"The Sun and the Moon","Brother, Sister"
"Orange Spider","Brother, Sister"
"C-Minor","Brother, Sister"
"In a Market Dimly Lit","Brother, Sister"
"O, Porcupine","Brother, Sister"
"Brownish Spider","Brother, Sister"
"In a Sweater Poorly Knit","Brother, Sister"
"Every Thought a Thought of You","It's All Crazy! It's All False!..."
"The Fox, the Crow, and the Cookie","It's All Crazy! It's All False!..."
"The Angel of Death Came to David's Room","It's All Crazy! It's All False!..."
"Goodbye, I!","It's All Crazy! It's All False!..."
"A Stick, A Carrot & String","It's All Crazy! It's All False!..."
"Bullet to Binary (Pt. Two)","It's All Crazy! It's All False!..."
"Timothy Hay","It's All Crazy! It's All False!..."
"Fig with a Bellyache","It's All Crazy! It's All False!..."
"Cattail Down","It's All Crazy! It's All False!..."
"The King Beetle on a Coconut Estate","It's All Crazy! It's All False!..."
"Allah, Allah, Allah","It's All Crazy! It's All False!..."
"February, 1878","Ten Stories"
"Grist for the Malady Mill","Ten Stories"
"East Enders Wives","Ten Stories"
"Cardiff Giant","Ten Stories"
"Elephant in the Dock","Ten Stories"
"Aubergine","Ten Stories"
"Fox's Dream of the Log Flume","Ten Stories"
"Nine Stories","Ten Stories"
"Fiji Mermaid","Ten Stories"
"Bear's Vision of St. Agnes","Ten Stories"
"Red Cow","Pale Horses"
"Dorothy","Pale Horses"
"D-Minor","Pale Horses"
"Mexican War Streets","Pale Horses"
"Blue Hen","Pale Horses"
"Lilac","Pale Horses"
"Magic Lantern Days","Pale Horses"
"Birnam Wood","Pale Horses"
"Rainbow Signs","Pale Horses"
"Purple Worry","Pale Horses"
"9:27a.m., 7/29","[Untitled]"
"Julia (or, ‘Holy to the LORD' on the Bells of Horses)","[Untitled]"
"Another Head for Hydra","[Untitled]"
"[dormouse sighs]","[Untitled]"
"Winter Solstice","[Untitled]"
"Flee, Thou Matadors!","[Untitled]"
"Tortoises All the Way Down","[Untitled]"
"2,459 Miles","[Untitled]"
"Wendy & Betsy","[Untitled]"
"New Wine, New Skins","[Untitled]"
"Michael, Row Your Boat Ashore","[Untitled]"
"Break on Through (to the Other Side) [pt. Two]","[Untitled]"
"Bethlehem, WV","[untitled] e.p."
"Dirty Air","[untitled] e.p."
"Cities of the Plain","[untitled] e.p."
"August 6th","[untitled] e.p."
"Kristy w/ the Sparkling Teeth","[untitled] e.p."
"I Never Said That I Was Brave","I Never Said That I Was Brave EP"
"Flamethrower","I Never Said That I Was Brave EP"
"Dying Is Strange and Hard","I Never Said That I Was Brave EP"
"We Know Who Our Enemies Are (demo)","I Never Said That I Was Brave EP"
"Four Word Letter (Pt. One)","I Never Said That I Was Brave EP"
"Julian the Onion","Other"
"Egypt","Other"
